"Indonesia","52222"
"Thailand","41608"
"Malaysia","40389"
"Singapore","37445"
"Philippines","28303"
"Vietnam","9578"
"Brunei","6500"
"Cambodia","4024"
"Laos","1339"
"Myanmar","212"
