VirusName,AccID,OriginLab,SubmittingLab,Authors
hCoV-19/Malaysia/IMR_WC91520/2021,EPI_ISL_1055037,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly MN, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC91545/2021,EPI_ISL_1055261,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly MN, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC91743/2021,EPI_ISL_1055262,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly MN, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC33879/2021,EPI_ISL_1055263,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly MN, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC91662/2021,EPI_ISL_1055264,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly MN, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC91650/2021,EPI_ISL_1055361,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly MN, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC91649/2021,EPI_ISL_1055362,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly MN, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC66770/2021,EPI_ISL_1055363,IMR,IMR,"Suppiah J, Kamel K, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC66769/2021,EPI_ISL_1055364,IMR,IMR,"Suppiah J, Kamel K, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC61833/2021,EPI_ISL_1055365,IMR,IMR,"Suppiah J, Kamel K, Azizan MA, Thayan R"
hCoV-19/Malaysia/MGI-MGI43/2021,EPI_ISL_1059900,MGVI,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-MGI52/2021,EPI_ISL_1059901,MGVI,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Nor Azfa Johari."
hCoV-19/Malaysia/MGI-DNALAB13/2020,EPI_ISL_1059902,DNALAB Sdn Bhd,MGVI,"Mohd Noor Mat Isa, Irni Suhayu Sapian, Yusuf Muhammad Noor, Nurhezreen Md Iqbal, Mohd Faizal Abu Bakar, Enizza Kasim, Shamsidar Sopie, Siti Noraini Othman, Azrin Ahmad, Wong Yong Wee, Nor Azfa Johari."
