VirusName,AccID,OriginLab,SubmittingLab,Authors
hCoV-19/Malaysia/IMR_WC66243/2021,EPI_ISL_1114723,IMR,IMR,"Suppiah J, Kamel K, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC66074/2021,EPI_ISL_1114724,IMR,IMR,"Suppiah J, Kamel K, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC299920/2020,EPI_ISL_1114726,IMR,IMR,"Suppiah J, Kamel K, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC317894/2020,EPI_ISL_1114734,IMR,IMR,"Suppiah J, Kamel K, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC340711/2020,EPI_ISL_1114744,IMR,IMR,"Suppiah J, Kamel K, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC357849/2020,EPI_ISL_1114765,IMR,IMR,"Suppiah J, Kamel K, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC74211/2021,EPI_ISL_1138598,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC74210/2021,EPI_ISL_1138750,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_0088/2021,EPI_ISL_1186028,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_323379/2021,EPI_ISL_1186114,Hospital Queen Elizabeth,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_19888925/2021,EPI_ISL_1196660,Hospital Melaka,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_19888903/2021,EPI_ISL_1196705,Hospital Melaka,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_19888914/2021,EPI_ISL_1196706,Hospital Melaka,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_19889110/2021,EPI_ISL_1196768,Hospital Melaka,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_19888864/2021,EPI_ISL_1196770,Hospital Melaka,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_19886423/2021,EPI_ISL_1196771,Hospital Melaka,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WI016/2020,EPI_ISL_1196794,Hospital Pulau Pinang,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WI019/2021,EPI_ISL_1196796,Hospital Pulau Pinang,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WI021/2021,EPI_ISL_1196797,Hospital Pulau Pinang,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_040265/2021,EPI_ISL_1196864,Hospital Alor Gajah,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC77905/2021,EPI_ISL_1196866,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC75699/2021,EPI_ISL_1196867,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC136734/2020,EPI_ISL_1196930,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WPM005/2021,EPI_ISL_1204503,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Ramly N, Robert F, Thayan R"
hCoV-19/Malaysia/IMR_WC106014/2021,EPI_ISL_1263458,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC86762/2021,EPI_ISL_1263460,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC75452/2021,EPI_ISL_1263540,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC108032/2021,EPI_ISL_1264762,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Azizan MA, Thayan R"
hCoV-19/Malaysia/IMR_WC75493/2021,EPI_ISL_1265161,IMR,IMR,"Suppiah J, Kamel K, Mohd Zawawi Z, Azizan MA, Thayan R"
hCoV-19/Malaysia/UNIMAS-B114/2021,EPI_ISL_1318203,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
hCoV-19/Malaysia/UNIMAS-B112/2021,EPI_ISL_1318204,Ministry of Health Hospital,UNIMAS,"Chan Chia Jui, David Perera, Ooi Mong How, Chua Hock Hin, Tonnii Sia Loong Loong, Wong Jyn Shan, Wong Kiing Aik"
